Serie,Nombre,Chasis,Motor,Marca,UM,NumeroInvenProd,modelo,Linea,Color,Precio,Estado
,Adaptador de 1 1/2 doble macho,,,,1,"73-1223,7-156",,,,250,Habilitado
,Adaptador hembra a macho de 2 1/2,,,,1,"73-1223,7-156",,,,300,Habilitado
,Adaptador hembra a macho de 1 1/2,,,,1,"73-1223,7-156",,,,225,Habilitado
,Adaptador hembra a macho con llave de control,,,,1,"73-1223,7-156",,,,350,Habilitado
,Adaptador doble hembra de 2 1/2,,,,1,"73-1223,7-156",,,,200,Habilitado
,Hacha plana unidad 485,,,,1,"73-1223,7-150",,,,95,Habilitado
,Hacha personal de pico y filo,,,,1,"73-1223,7-150",,,,60,Habilitado
,Tubo galvanizado punta de acero (chuzo de acero) unidad 637,,,,1,"73-1223,7-163",,,,125,Habilitado
,Barreta corta unidad 637,,,,1,"73-1223,7-163",,,,65,Habilitado
,Barreta de acero unidad 637,,,,1,"73-1223,7-163",,,,125,Habilitado
,Barreta de hierro de construccion unidad 637,,,,1,"73-1223,7-163",,,,75,Habilitado
,Llaves de chucho ,,,,1,"73-1223,7-158",,,,100,Habilitado
,Garfio de madera unidad 485,,,,1,"73-1223,7-152",,,,125,Habilitado
,tricket de 3 toneladas se da de baja por inexistencia en inventario fisico,,,,1,"73-1223,7-157",,,,300,Habilitado
,tricket de 1 tonelada se da de baja por inexistencia en inventario fisico,,,,1,"73-1223,7-157",,,,300,Habilitado
,tricket con palanca unidad 925,,,,1,"73-1223,7-157",,,,100,Habilitado
,Martillo de bola,,,,1,"73-1223,7-168",,,,55,Habilitado
,Martillo de uña ,,,,1,"73-1223,7-168",,,,55,Habilitado
,Siamesa de 2 1/2,,,,1,"73-1223,7-204",,,,400,Habilitado
,Llave Kellitul (Dañanda por uso),,,,1,"73-1223,7-216",,,,100,Habilitado
,Cadena de Remolque unidad 637,,,,1,"73-1223,7-190",,,,75,Habilitado
,cadena de tension para quijada de la vida unidad 637,,,,1,"73-1223,7-286",,,,100,Habilitado
,Segueta unidad 544,,,,1,"73-1223,7-231",,,,30,Habilitado
,Punzon,,,,1,"73-1223,7-239",,,,45,Habilitado
,Piocha unidad 637,,,,1,"73-1223,7-165",,,,50,Habilitado
,Piocha ,,,,1,"73-1223,7-165",,,,50,Habilitado
,Almaga de 8lbs unidad 485,,,,1,"73-1223,7-164",,,,150,Habilitado
,Ribes para golpe tipo almagana unidad 637 (Dar de baja por estar en mal estado),,,,1,"73-1223,7-164",,,,75,Habilitado
,"Coirta frio de 30"" ",,,,1,"73-1223,7-159",,,,400,Habilitado
,Ferula de metal para miembros inferiores unidad 918,,,,1,"73-122,9-259",,,,150,Habilitado
13666,Barra Rotativa unidad 637,,,14,1,"73-122,9-273",,,,700,Habilitado
314-996-2800,Barra Rotativa,,,,1,"73-122,9-273",,,,700,Habilitado
,Burbuja Rotativa,,,,1,"73-122,9-309",,,,200,Habilitado
,Camilla de lona color verde,,,,1,"73-122,9-252",,,,1500,Habilitado
,Camilla de aluminio fija unidad 925,,,,1,"73-122,9-252",,,,2000,Habilitado
,Camilla pegable de aluminio unidad 925 (dar de baja por deterioro por uso),,,,1,"73-122,9-257",,,,1200,Habilitado
,Juego de luces unidad 978,,,,1,"73-122,9-309",,,,550,Habilitado
,Juego de luces LTD 0536 unidad 925,,,,1,"73-122,9-309",,,,550,Habilitado
,Juegp de luces 40T unidad 918,,,,1,"73-122,9-309",11,,,550,Habilitado
,Camilla de elevacion con rodos unidad 371,,,,1,"73-122,9-266",,,,5600,Habilitado
,Camilla de elevacion con rodos unidad 918,,,,1,"73-122,9-266",,,,5600,Habilitado
,Casco,,,,1,"73-122,9-260",,,Negro,777,Habilitado
,Caja con 3 maniquis RCP,,,,1,"73-122,9-315",,,,2000,Habilitado
,Ferula de aluminio para miembro inferior unidad 371,,,,1,"73-122,9-361",,,,200,Habilitado
,Fijador de cabeza con sus respectivas cinchas,,,,1,"73-122,9-390",,,,175,Habilitado
,Fijador de cabeza con sus respectivas cinchas color naranja unidad 918,,,,1,"73-122,9-390",,,,175,Habilitado
,Cilindro de Oxigeno DOT 3AA2015,,,,1,"73-122,9-267",,,,500,Habilitado
TC3AAM154,Cilindro de Oxigeno unidad 918,,,,1,"73-122,9-267",,,,500,Habilitado
89857,Cilindro de Oxigeno 110 (dar de baja por estar descontinuado),,,15,1,"73-122,9-267",,,,500,Habilitado
,Cilindro de Oxigeno portatil DOT3AA2015 unidad 371,,,,1,"73-122,9-267",,,,300,Habilitado
,Cilindro de Oxigeno portatil 2-3AL2015 AS1116032 unidad 925,,,,1,"73-122,9-267",,,,300,Habilitado
,Periguela de metal ,,,,1,"73-122,9-258",,,,500,Habilitado
,Chalecos Salvavidas,,,,1,"73-122,9-367",,,,100,Habilitado
,Cilindros de autocontenido,,,,1,"73-122,9-516",,,,1000,Habilitado
,Manometro lot. 61G-970191 unidad 925,,,,1,"73-122,9-319",12,,,250,Habilitado
,Mangueras de 1 1/2 de 50 pies ,,,,1,"73-122,9-507",,,,1000,Habilitado
,Mangueras de 1 1/2 por 75,,,,1,"73-122,9-507",,,,2000,Habilitado
,Manguera de 2 1/2 por 50 pies,,,,1,"73-122,9-507",,,,1500,Habilitado
,Protector de manguera (esquineros) de 2 1/2,,,,1,"73-122,9-515",,,,500,Habilitado
,Pascon,,,,1,"73-122,9-525",,,,150,Habilitado
,Patalones,,,,1,"73-122,9-531",,,,500,Habilitado
,Casacas,,,,1,"73-122,9-524",,,,500,Habilitado
,Pares de Botas contra incendio,,,,1,"73-122,9-530",,,,1250,Habilitado
,Cuerda Dinamica,,,,1,"73-122,9-368",,,,150,Habilitado
,Mangueras de succion unidad 637,,,,1,"73-122,9-536",,,,2000,Habilitado
,Ferula Kendrix unidad 918,,,,1,"73-122,9-544",,,,500,Habilitado
,Ferula Kendrix unidad 637,,,,1,"73-122,9-544",,,,500,Habilitado
,Ferula de aluminio,,,,1,"73-122,9-544",,,,1800,Habilitado
,Escalera de extension de aluminio unidad 637,,,,1,"73-122,9-541",,,,1000,Habilitado
31544,Extintor de bioxido de carbono,,,,1,"73-122,9-522",13,,,850,Habilitado
,Extintor de 20 lbs unidad 637,,,,1,"73-122,9-522",,,,650,Habilitado
,Extintor de 20 lbs tree class,,,,1,"73-122,9-350",,,,350,Habilitado
,Extintor de 10 lbs tree class,,,,1,"73-122,9-350",,,,225,Habilitado
,Extintor de 15 lbs tree Class,,,,1,"73-122,9-350",,,,425,Habilitado
,Extintor grande 20 lbs tree class unidad 371,,,,1,"73-122,9-521",,,,500,Habilitado
,Union doble macho de 2 1/2,,,,1,"73-122,9-547",,,,125,Habilitado
,Union doble hembra de 2 1/2,,,,1,"73-122,9-548",,,,125,Habilitado
,Eductor de Foan de 1 1/2 unidad 485,,,,1,"73-122,9-549",,,,425,Habilitado
,Auto contenido o equipo de Eprac (incluye mascaria arnes y cilindro),,,,1,"73-122,9-511",,,,15000,Habilitado
,Arnes,,,,1,"73-122,9-537",,,,2500,Habilitado
,Cuñas de metal unidad 637,,,,1,"73-122,9-166",,,,350,Habilitado
,Vehiculo tipo pick up unidad 544,JM7DFYOWW0140942,EEL469690,16,1,"73-1224,2-804",14,,,69154.6,Habilitado
,Vehiculo tipo camion unidad 485,3.76023E+13,35201624011,17,1,"73-1224,2-806",15,,,55000,Habilitado
,Vehiculo tipo moto bomba unidad 637,TLD460323103,168257,18,1,"73-1224,2-802",16,,,50000,Habilitado
,Vehículo tipo microbus unidad 1169,JTFJS02P7G5028391,,19,1,,17,1,,,Habilitado
